section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
AI & ML,ML,Medium,Dimensionality reduction:,Reduces features while retaining info,Increases accuracy,Improves precision,Adds features,A
AI & ML,ML,Medium,PCA is a ___ dimensionality reduction technique:,Linear,Non-linear,Supervised,Probabilistic,A
AI & ML,ML,Easy,PCA = ?,Principal Component Analysis,Partial Component Analysis,Principal Class Algorithm,Predictive Component Analysis,A
AI & ML,ML,Medium,t-SNE is primarily for:,Data visualization in 2D/3D,Feature selection,Model training,Prediction,A
AI & ML,ML,Hard,GAN consists of:,Generator and Discriminator,Encoder and Decoder,Conv and Pooling layers,Input and Output layers,A
AI & ML,ML,Hard,Generator's goal in GAN:,Fool the discriminator,Classify inputs,Minimize loss directly,Select features,A
AI & ML,ML,Medium,Elbow Method is used for:,Optimal number of clusters,Learning rate,Feature selection,Data splitting,A
AI & ML,ML,Hard,Silhouette score evaluates:,Cluster quality,Model accuracy,Feature importance,Training loss,A
AI & ML,ML,Hard,DBSCAN doesn't require specifying:,Number of clusters,Distance metric,Minimum points,Epsilon,A
AI & ML,ML,Easy,K-Means assigns clusters by:,Distance to centroids,Label similarity,Density,Tree splits,A
AI & ML,ML,Medium,Hierarchical clustering produces:,A dendrogram,Cluster centers,Feature weights,Class probabilities,A
AI & ML,ML,Medium,Association rule mining finds:,Co-occurring items in transactions,Classifications,Continuous predictions,Anomalies,A
AI & ML,ML,Medium,Apriori mines:,Frequent itemsets,Neural network weights,Decision boundaries,Principal components,A
AI & ML,ML,Medium,Support in association rules:,Frequency of itemset in dataset,Confidence level,Number of rules,Lift value,A
AI & ML,ML,Medium,Confidence in association rules:,P(B|A),P(A),P(A∩B),P(A∪B),A
AI & ML,ML,Hard,Lift > 1 indicates:,Positive correlation between items,Negative correlation,No correlation,High support,A
AI & ML,ML,Easy,MSE is used for:,Regression evaluation,Classification,Clustering,Dimensionality reduction,A
AI & ML,ML,Easy,R² = 1 means:,Perfect fit,No fit,50% variance explained,Random prediction,A
AI & ML,ML,Hard,Negative R² means:,Model worse than horizontal baseline,Perfect fit,Overfitting,100% variance explained,A
AI & ML,ML,Easy,MAE = ?,Mean Absolute Error,Maximum Absolute Error,Mean Accuracy Error,Model Absolute Evaluation,A
AI & ML,ML,Medium,RMSE penalizes:,Large errors more than MAE,Small errors,All errors equally,Zero errors,A
AI & ML,ML,Medium,Learning curve shows:,Model performance vs training data size,Loss over epochs,Feature importance,Confusion matrix,A
AI & ML,ML,Medium,Grid search:,Finds best hyperparameter combination exhaustively,Trains faster,Selects features,Reduces overfitting,A
AI & ML,ML,Hard,Random search is better than grid search when:,Search space is very large,Data is small,Model is linear,Few features,A
AI & ML,ML,Hard,Bayesian optimization uses:,Prior knowledge + likelihood,Random sampling,Full grid,Manual tuning,A
AI & ML,ML,Hard,Feature importance in Random Forest:,Mean decrease in impurity,Correlation with label,PCA loading,Gradient magnitude,A
AI & ML,ML,Easy,Logistic Regression output:,Probability between 0 and 1,Real-valued number,Cluster assignment,Decision tree node,A
AI & ML,ML,Medium,Sigmoid function maps to:,"(0, 1)","(-∞, ∞)","[0, ∞)","[-1, 1]",A
AI & ML,ML,Easy,One-hot encoding:,Encodes categorical variables as binary vectors,Scales numerical data,Reduces dimensions,Handles missing values,A
AI & ML,ML,Easy,Label encoding:,Assigns integers to categories,Splits data,Normalizes labels,Removes labels,A
AI & ML,ML,Hard,Data leakage:,Test set info leaks into training,Mislabeled data,Overfitting,Missing data,A
AI & ML,ML,Medium,Stratified sampling:,Preserves class distribution in samples,Random sampling,Systematic sampling,Cluster sampling,A
AI & ML,ML,Hard,Time series should be split:,"By time order, not randomly",Randomly,Stratified,K-fold,A
AI & ML,ML,Hard,No Free Lunch theorem:,No single algorithm best for all problems,More data always helps,Deep learning always wins,Simpler is always better,A
AI & ML,ML,Hard,Occam's Razor in ML:,Prefer simpler models if they explain data well,Complex is better,More features improve,Training longer helps,A
AI & ML,ML,Easy,Most interpretable algorithm:,Decision Tree,Neural Network,SVM-RBF,XGBoost,A
AI & ML,ML,Medium,Early stopping:,Stops training when validation loss increases,Speeds up training,Improves accuracy,Reduces bias,A
AI & ML,ML,Easy,Most popular traditional ML library in Python:,scikit-learn,TensorFlow,PyTorch,Keras,A
AI & ML,ML,Easy,fit() in scikit-learn:,Trains the model on data,Makes predictions,Evaluates model,Preprocesses data,A
AI & ML,ML,Easy,predict() in scikit-learn:,Generates predictions on new data,Trains model,Evaluates accuracy,Transforms features,A
AI & ML,ML,Medium,score() in scikit-learn returns:,Accuracy (classifiers) or R² (regressors),Training loss,Feature importance,Validation loss,A
AI & ML,ML,Medium,What is the purpose of scikit-learn's Pipeline?,Chains preprocessing and model steps,Creates neural nets,Handles databases,Plots results,A
AI & ML,ML,Easy,A model with low training error but high test error is:,Overfitting,Underfitting,Well-generalized,Unbiased,A
AI & ML,ML,Easy,A model with high training AND test error is:,Underfitting,Overfitting,Well-generalized,Regularized,A
AI & ML,ML,Easy,Which of these is a distance-based algorithm?,KNN,Naive Bayes,Decision Tree,Logistic Regression,A
AI & ML,ML,Hard,Which algorithm works best with high-dimensional sparse data?,Naive Bayes,KNN,SVM-linear or Naive Bayes,K-Means,C
AI & ML,ML,Hard,What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distances less meaningful",More dimensions always help,Dimensions reduce model accuracy,Dimensions slow training,A
AI & ML,ML,Hard,Ensemble methods combine models to:,Reduce bias AND variance compared to any single model,Only reduce variance,Only reduce bias,Increase interpretability,A
AI & ML,ML,Medium,What does 'fit' mean in the context of a scikit-learn transformer?,Learns transformation parameters from training data,Applies the transformation,Creates a new dataset,Validates the data,A
AI & ML,Python,Easy,Python is:,"High-level, interpreted, general-purpose language",Low-level compiled language,Markup language,Database language,A
AI & ML,Python,Easy,Python's data type for ordered mutable collection:,list,tuple,set,dict,A
AI & ML,Python,Easy,Python's data type for ordered immutable collection:,tuple,list,set,frozenset,A
AI & ML,Python,Easy,Python's data type for unordered unique elements:,set,list,tuple,dict,A
AI & ML,Python,Easy,Python dictionary is:,Unordered key-value pairs (ordered insertion in Python 3.7+),Ordered list,Fixed-size array,Sorted collection,A
AI & ML,Python,Easy,Output of type(42):,<class 'int'>,<class 'float'>,<class 'str'>,<class 'num'>,A
AI & ML,Python,Easy,Output of type(3.14):,<class 'float'>,<class 'int'>,<class 'double'>,<class 'number'>,A
AI & ML,Python,Easy,What is list comprehension?,Creates list using concise one-line expression,Creates dictionary,Deletes list elements,Filters None values,A
AI & ML,Python,Easy,"Output of len([1,2,3,4]):",4,3,5,Error,A
AI & ML,Python,Easy,Keyword to define a function:,def,function,func,define,A
AI & ML,Python,Medium,*args allows:,Variable number of positional arguments,Keyword arguments only,No arguments,Fixed arguments,A
AI & ML,Python,Medium,**kwargs allows:,Variable number of keyword arguments,Positional arguments,Default only,No extras,A
AI & ML,Python,Medium,Lambda function is:,Anonymous single-expression function,Named function,Class method,Generator,A
AI & ML,Python,Medium,map() does:,Applies function to each item in iterable,Filters elements,Reduces to one value,Sorts elements,A
AI & ML,Python,Medium,filter() does:,Returns elements where function returns True,Applies to all,Reduces to one value,Maps and filters,A
AI & ML,Python,Hard,Generator in Python:,Function that yields values one at a time,Function returning list,Class for objects,List comprehension variant,A
AI & ML,Python,Easy,List vs Tuple key difference:,"Lists mutable, tuples immutable",Both mutable,Both immutable,"Tuples mutable, lists not",A
AI & ML,Python,Medium,'with' statement:,"Manages context (e.g., file handling)",Creates new function,Defines class,Loops over items,A
AI & ML,Python,Hard,Decorator in Python:,Function that modifies another function,Class attribute,Loop modifier,Module importer,A
AI & ML,Python,Hard,GIL (Global Interpreter Lock):,Allows only one thread to run Python bytecode at a time,Locks database,Security feature,Memory manager,A
AI & ML,Python,Easy,'pass' in Python:,Does nothing; placeholder,Breaks loop,Skips iteration,Returns None,A
AI & ML,Python,Medium,"Output of range(2,10,3):","range producing [2,5,8]","[2,4,6,8]","[3,6,9]","[2,5,7]",A
AI & ML,Python,Easy,Module for regular expressions:,re,regex,regexp,match,A
AI & ML,Python,Easy,os.path.join() does:,Safely joins file path components,Joins lists,Concatenates strings,Opens files,A
AI & ML,Python,Medium,pickle module does:,Serializes/deserializes Python objects,Handles images,Manages dates,Creates databases,A
AI & ML,Python,Medium,Virtual environment in Python:,Isolated Python environment with its own packages,Shared global env,Cloud-based env,Test env only,A
AI & ML,Python,Medium,__init__.py makes:,Directory into a Python package,Initializes classes,Defines main,Imports modules,A
AI & ML,Python,Medium,'self' in a class:,Current instance of the class,Parent class,Class itself,Global variable,A
AI & ML,Python,Medium,__str__ method:,User-friendly string representation of object,Constructor,Destructor,Comparison method,A
AI & ML,Python,Medium,Method overriding:,Subclass redefines parent class method,Creating new methods,Deleting methods,Calling parent,A
AI & ML,Python,Medium,Multiple inheritance:,Class inherits from more than one parent,Single inheritance,Method reuse,Two identical classes,A
AI & ML,Python,Hard,MRO (Method Resolution Order):,Order Python looks up methods in inheritance hierarchy,Order of method calls,Order of attribute access,Import order,A
AI & ML,Python,Medium,super() does:,Calls parent class method,Deletes parent,Creates superclass,Imports parent,A
AI & ML,Python,Hard,Property in Python:,Manages attribute access via getter/setter methods,Class variable,Module attribute,External file,A
AI & ML,Python,Hard,@staticmethod vs @classmethod:,staticmethod: no class/instance access; classmethod: gets class as first arg,Both same,staticmethod needs cls,classmethod has no self,A
AI & ML,Python,Hard,Python garbage collection:,Reference counting + cyclic GC,Manual management,OS-level,Stack-based,A
AI & ML,Python,Medium,itertools module:,Efficient iterators for looping,Database connections,Math operations,File I/O,A
AI & ML,Python,Medium,collections module:,Specialized container datatypes,Basic containers,File handling,Network ops,A
AI & ML,Python,Hard,namedtuple:,Immutable sequence with named fields,Mutable dictionary,Regular tuple,Named list,A
AI & ML,Python,Hard,defaultdict:,Dict providing default values for missing keys,Ordered dict,Read-only dict,Shared dict,A
AI & ML,Python,Medium,Counter in collections:,Counts occurrences of hashable items,Counts file lines,Counts iterations,Counts function calls,A
AI & ML,Python,Easy,json.dumps():,Converts Python object to JSON string,Reads JSON from file,Parses JSON string,Deletes JSON keys,A
AI & ML,Python,Easy,json.loads():,Parses JSON string to Python object,Writes JSON to file,Dumps to JSON,Loads JSON file,A
AI & ML,Python,Medium,== vs 'is' in Python:,== checks value; 'is' checks identity,Both check values,Both check identity,== checks type,A
AI & ML,Python,Hard,Shallow copy vs deep copy:,Shallow copies reference; deep copies all nested objects,Both copy all,Shallow copies all,Deep copies top level,A
AI & ML,Python,Easy,from module import function:,Imports specific function from module,Imports all,Imports module only,Requires reload,A
AI & ML,Python,Easy,Output of 2**10:,1024,20,100,512,A
AI & ML,Python,Medium,zip() does:,Combines two iterables element-wise,Compresses files,Sorts lists,Merges by appending,A
AI & ML,Python,Easy,enumerate() does:,Adds index to iterable elements,Counts elements,Removes duplicates,Sorts by index,A
AI & ML,Python,Medium,append() vs extend():,append adds one item; extend adds multiple items,Both add one,Both add multiple,extend adds at start,A
AI & ML,Python,Easy,sorted() returns:,New sorted list,Sorted in-place,Tuple,Generator,A
AI & ML,Python,Easy,List slicing:,Extracts sub-list using indices,Deletes elements,Sorts list,Copies whole list,A
AI & ML,Python,Medium,frozenset is:,Immutable version of set,Ordered set,Sorted set,Set with None,A
AI & ML,Python,Medium,Empty containers are:,Falsy in Python,Truthy,Neither,Depends on type,A
AI & ML,Python,Medium,assert does:,Tests condition; raises AssertionError if False,Logs message,Breaks code,Skips block,A
AI & ML,Python,Easy,finally in try-except:,Runs regardless of exception,Catches all,Raises exceptions,Skips code,A
AI & ML,Python,Hard,Context manager:,Object with __enter__ and __exit__ for resource management,Decorator,Generator,Class method,A
AI & ML,Python,Easy,any() does:,Returns True if any element is truthy,Returns True if all truthy,Returns False always,Counts truthy,A
AI & ML,Python,Easy,all() does:,Returns True only if all elements truthy,Returns True if any truthy,Returns count,Returns False if empty,A
AI & ML,Python,Medium,__len__ method:,Returns length of an object,Returns string,Returns type,Returns hash,A
AI & ML,Python,Medium,@property decorator:,Accesses method like an attribute,Creates static methods,Deletes attributes,Overrides operators,A
AI & ML,Python,Hard,Duck typing:,"If it behaves like a type, treat it as that type",Strict type checking,Explicit casting,Dynamic memory allocation,A
AI & ML,Python,Hard,__slots__ in Python:,Restricts instance attributes to save memory,Adds all attributes,Enables multiple inheritance,Defines slots in memory,A
AI & ML,Python,Hard,asyncio is for:,Writing async (non-blocking) I/O code,Multi-threading,GPU processing,File parsing,A
AI & ML,Python,Hard,yield in a generator:,Pauses execution and returns value to caller,Ends function,Returns all values,Acts like return in loops,A
AI & ML,Python,Medium,@classmethod receives:,cls as first argument (the class itself),self (instance),No arguments,Both cls and self,A
AI & ML,Python,Hard,Monkey patching:,Dynamically modifying class/module at runtime,Fixing code bugs,Unit testing,Static analysis,A
AI & ML,Python,Hard,__call__ enables:,Calling object like a function,Calling class,Calling superclass,Returning the object,A
AI & ML,Python,Hard,Memoization:,Caching expensive function results,Memory management,Module caching,Variable storing,A
AI & ML,Python,Medium,@functools.lru_cache:,Memoization decorator,Only in Python 3.9+,Least-recently-used memory,Loading cache from disk,A
AI & ML,Python,Hard,async/await is used for:,Asynchronous coroutines,Multithreading,Multiprocessing,Parallel loops,A
AI & ML,Python,Hard,__getitem__ enables:,Indexing with [],Iteration,Length check,String conversion,A
AI & ML,Python,Medium,Type hinting:,Annotating variables/functions with expected types,Enforcing types at runtime,Converting types,Hiding types,A
AI & ML,Python,Medium,dataclass decorator:,"Auto-generates __init__, __repr__, __eq__ etc.",Creates GUIs,Creates DB models,Adds slots,A
AI & ML,Python,Hard,Threads vs processes in Python:,Threads share memory; processes have separate memory,Both share,Both separate,Processes faster always,A
AI & ML,Python,Hard,multiprocessing bypasses GIL because:,Each process has its own Python interpreter,Processes run in one interpreter,GIL only affects I/O,GIL doesn't exist in multiprocessing,A
AI & ML,Python,Hard,__hash__ controls:,Whether object can be used as dict key or set element,Equality,Ordering,Memory address,A
AI & ML,Python,Hard,functools.partial:,Pre-fills some arguments of a function creating new function,Creates partial class,Reduces function,Wraps in decorator,A
AI & ML,Python,Medium,Walrus operator (:=):,Assigns value within an expression,Creates variable separately,Compares values,Defines walrus type,A
AI & ML,Python,Easy,f-string example:,f'Hello {name}',"format('Hello', name)",'Hello' % name,'Hello'.format(name),A
AI & ML,Python,Easy,str.split() returns:,A list of substrings,A tuple,A generator,A set,A
AI & ML,Python,Easy,NumPy primary use:,Numerical computing with multi-dimensional arrays,Web development,Database management,UI design,A
AI & ML,Python,Easy,pandas primary use:,Data manipulation and analysis with DataFrames,Numerical computing,Image processing,Deep learning,A
AI & ML,Python,Easy,matplotlib primary use:,Data visualization,Data manipulation,Machine learning,Web scraping,A
AI & ML,Python,Easy,pd.read_csv():,Reads CSV file into a DataFrame,Writes CSV,Creates CSV,Deletes rows,A
AI & ML,Python,Easy,df.head():,Shows first 5 rows of DataFrame,Shows last 5,Shows all,Shows column names only,A
AI & ML,Python,Easy,df.dropna():,Removes rows with missing values,Fills missing values,Counts NaN,Replaces missing,A
AI & ML,Python,Easy,df.fillna(value):,Fills missing values with specified value,Drops missing rows,Counts NaN,Creates column,A
AI & ML,Python,Medium,Vectorized NumPy operation:,Applied element-wise without explicit loops,Loop-based,Manual element access,GPU operations,A
AI & ML,Python,Medium,np.array vs list:,np.array supports vectorized math; list is general-purpose,Both identical,List is faster,np.array is slower,A
AI & ML,Python,Easy,How to install packages in Python:,pip install package_name,python install,py install,npm install,A
AI & ML,Python,Easy,What is pip?,Package installer for Python,Python interpreter,Python IDE,Python debugger,A
AI & ML,Python,Easy,What is a Python module?,A .py file containing reusable code,A Python class,A virtual env,A package manager,A
AI & ML,Python,Easy,What is a Python package?,A directory of modules with __init__.py,A single .py file,A compiled library,A Python version,A
AI & ML,Python,Easy,str() function:,Converts object to string,Creates string class,Concatenates strings,Formats strings,A
AI & ML,Python,Easy,int() function:,Converts to integer,Creates integer class,Adds integers,Compares integers,A
AI & ML,Python,Easy,What is the output of bool(0)?,False,True,0,,A
AI & ML,Python,Easy,What is the output of bool([]):,False,True,[],,A
AI & ML,Python,Hard,in operator with sets is O(?):,O(1) average,O(n),O(log n),O(n²),A
AI & ML,Python,Medium,"In Python 3, / operator does:",True division (returns float),Integer division,Modulo,Floor division,A
AI & ML,Python,Easy,// operator in Python:,Floor division,Ceiling division,True division,Power,A
AI & ML,Python,Easy,% operator in Python:,Modulo (remainder),Percentage,Multiplication,Division,A
AI & ML,Deep Learning,Easy,What is a neural network?,Layers of interconnected neurons that learn representations,Decision tree variant,Ensemble of models,Statistical test,A
AI & ML,Deep Learning,Easy,What is the hidden layer?,Layer between input and output learning representations,Input layer,Output layer,Activation layer,A
AI & ML,Deep Learning,Medium,What is backpropagation?,Algorithm computing gradients via chain rule,Forward computation,Weight init,Data preprocessing,A
AI & ML,Deep Learning,Easy,What is an epoch?,One complete pass through the training dataset,One batch update,One prediction,One feature processed,A
AI & ML,Deep Learning,Medium,Purpose of activation functions:,Introduce non-linearity,Normalize inputs,Reduce dimensions,Speed up training,A
AI & ML,Deep Learning,Hard,Vanishing gradient problem:,Gradients too small in early layers,Gradients too large,Loss increases,Accuracy drops,A
AI & ML,Deep Learning,Hard,Exploding gradient problem:,Gradients become very large causing unstable updates,Gradients too small,Activation saturation,Memory overflow,A
AI & ML,Deep Learning,Hard,Gradient clipping:,Limits gradient magnitude to prevent exploding gradients,Clips input values,Removes neurons,Regularization only,A
AI & ML,Deep Learning,Easy,ReLU: f(x) = ?,"max(0, x)",1/(1+e^-x),tanh(x),x,A
AI & ML,Deep Learning,Medium,Leaky ReLU:,ReLU with small slope for negative inputs,ReLU with clipping,Parametric ReLU,ELU,A
AI & ML,Deep Learning,Easy,Sigmoid range:,"(0, 1)","(-1, 1)","(0, ∞)","(-∞, ∞)",A
AI & ML,Deep Learning,Easy,Tanh range:,"(-1, 1)","(0, 1)","(0, ∞)","(-∞, ∞)",A
AI & ML,Deep Learning,Hard,Why Sigmoid not preferred in hidden layers:,Causes vanishing gradients,Always preferred,Too expensive,Too complex,A
AI & ML,Deep Learning,Hard,Batch Normalization:,Normalizes activations within a batch to stabilize training,Normalizes data,Normalizes weights,Normalizes gradients,A
AI & ML,Deep Learning,Hard,Layer Normalization:,Normalizes across features for one sample (Transformers),Normalizes across batch,Normalizes weights,Normalizes loss,A
AI & ML,Deep Learning,Easy,CNN is:,Network using convolutional layers to extract spatial features,Fully connected network,Recurrent network,Graph network,A
AI & ML,Deep Learning,Medium,Convolutional layer:,Applies filters to detect local patterns,Reduces spatial dimensions,Fully connects neurons,Normalizes activations,A
AI & ML,Deep Learning,Easy,Pooling layer:,Reduces spatial dimensions (downsampling),Increases spatial dimensions,Adds features,Normalizes activations,A
AI & ML,Deep Learning,Easy,Max Pooling:,Takes maximum value in pooling window,Takes average,Takes minimum,Takes sum,A
AI & ML,Deep Learning,Medium,Stride in convolution:,Number of pixels filter moves per step,Filter size,Padding amount,Number of filters,A
AI & ML,Deep Learning,Medium,Padding in CNN:,Adding zeros to control output spatial size,Removing border pixels,Increasing filter size,Reducing stride,A
AI & ML,Deep Learning,Easy,RNN:,Network with loops to process sequential data,Network for images,Network for tabular data,Network for graphs,A
AI & ML,Deep Learning,Hard,Vanishing gradient in RNNs:,Gradients decay through many time steps,Gradients increase,Sequences are fast,RNNs have no gradients,A
AI & ML,Deep Learning,Medium,LSTM:,RNN variant with gates to control long-range information,Simplified RNN,Bidirectional RNN,Attention mechanism,A
AI & ML,Deep Learning,Hard,LSTM gates:,"Input, Forget, and Output gates",On and Off gates,Up and Down gates,Left and Right gates,A
AI & ML,Deep Learning,Hard,GRU vs LSTM:,GRU has fewer gates (reset and update) — simpler,GRU is more complex,GRU has more gates,They are identical,A
AI & ML,Deep Learning,Medium,Autoencoder:,Compresses input to lower-dimensional representation and reconstructs,Supervised classifier,Recurrent network,CNN variant,A
AI & ML,Deep Learning,Medium,Autoencoder bottleneck:,Compressed lower-dimensional representation,Final layer,Input layer,Loss function,A
AI & ML,Deep Learning,Hard,VAE (Variational Autoencoder):,Generative model with probabilistic latent space,Deterministic autoencoder,CNN variant,Attention model,A
AI & ML,Deep Learning,Medium,GAN (Generative Adversarial Network):,Generator creates fakes; Discriminator distinguishes real/fake,Autoencoder variant,Supervised model,Ensemble,A
AI & ML,Deep Learning,Hard,Mode collapse in GANs:,Generator produces only a few output types,Training divergence,Overfitting,Generator overfits,A
AI & ML,Deep Learning,Medium,Transformer model:,Attention-based architecture processing tokens in parallel,RNN with attention,CNN variant,Ensemble,A
AI & ML,Deep Learning,Hard,Self-attention:,Each token attends to all other tokens,Cross-attention,Layer normalization,Feed-forward network,A
AI & ML,Deep Learning,Medium,BERT:,Bidirectional Encoder Representations from Transformers,Unidirectional LM,CNN for text,RNN for text,A
AI & ML,Deep Learning,Easy,GPT:,Generative Pre-trained Transformer for text generation,Discriminative model,Image model,Speech model,A
AI & ML,Deep Learning,Medium,Fine-tuning:,Adapting pre-trained model to specific task,Training from scratch,Feature extraction only,Hyperparameter tuning,A
AI & ML,Deep Learning,Hard,Xavier/Glorot init:,For Sigmoid/Tanh — keeps activation variance stable,For ReLU,For training speed,For memory reduction,A
AI & ML,Deep Learning,Hard,He init:,For ReLU activations — keeps variance stable,For Sigmoid,For Tanh,For all equally,A
AI & ML,Deep Learning,Hard,ResNet's key innovation:,Residual (skip) connections enabling very deep networks,Attention mechanism,Batch norm only,Larger kernels,A
AI & ML,Deep Learning,Hard,Skip connections:,Add input to layer output to prevent vanishing gradients,Skip layers randomly,Dropout variant,Attention variant,A
AI & ML,Deep Learning,Easy,Softmax output layer:,Converts logits to probability distribution over classes,Creates embeddings,Reduces dimensions,Applies regularization,A
AI & ML,Deep Learning,Easy,Dense (fully connected) layer:,Every neuron connected to every previous neuron,Conv layer,Recurrent layer,Attention layer,A
AI & ML,Deep Learning,Medium,Embedding layer:,Maps discrete tokens to dense continuous vectors,One-hot encoding,Positional encoding,Attention,A
AI & ML,Deep Learning,Hard,Positional encoding in Transformers:,Adds position info since attention is permutation-invariant,Encodes feature positions,Maps positions to labels,Sorts tokens,A
AI & ML,Deep Learning,Hard,Multi-head attention:,Parallel attention heads with different projections,Stacked self-attention,Multi-layer attention,Hierarchical attention,A
AI & ML,Deep Learning,Medium,Seq2Seq model:,Encoder encodes input; Decoder generates output,Single forward pass,Bidirectional model,Classification model,A
AI & ML,Deep Learning,Hard,Beam search:,Keeps top-k sequences at each generation step,Greedy decoding,Random sampling,Nucleus sampling,A
